stat.question_id,stat.frontend_question_id,stat.question__title,stat.question__title_slug,stat.total_acs,stat.total_submitted
2251,2147,Number of Ways to Divide a Long Corridor,number-of-ways-to-divide-a-long-corridor,67004,135202
2246,2127,Maximum Employees to Be Invited to a Meeting,maximum-employees-to-be-invited-to-a-meeting,12707,34326
2241,2122,Recover the Original Array,recover-the-original-array,10425,26810
2234,2111,Minimum Operations to Make the Array K-Increasing,minimum-operations-to-make-the-array-k-increasing,12541,32656
2229,2106,Maximum Fruits Harvested After at Most K Steps,maximum-fruits-harvested-after-at-most-k-steps,10629,29437
2222,2117,Abbreviating the Product of a Range,abbreviating-the-product-of-a-range,3338,12679
2213,2092,Find All People With Secret,find-all-people-with-secret,94869,207057
2207,2102,Sequentially Ordinal Rank Tracker,sequentially-ordinal-rank-tracker,14884,23006
2202,2081,Sum of k-Mirror Numbers,sum-of-k-mirror-numbers,7123,16883
2201,2097,Valid Arrangement of Pairs,valid-arrangement-of-pairs,9933,23162
2200,2132,Stamping the Grid,stamping-the-grid,7006,21590
2198,2076,Process Restricted Friend Requests,process-restricted-friend-requests,16889,30765
2193,2088,Count Fertile Pyramids in a Land,count-fertile-pyramids-in-a-land,9389,14564
2189,2065,Maximum Path Quality of a Graph,maximum-path-quality-of-a-graph,20890,35832
2184,2060,Check if an Original String Exists Given Two Encoded Strings,check-if-an-original-string-exists-given-two-encoded-strings,15217,35178
2180,2071,Maximum Number of Tasks You Can Assign,maximum-number-of-tasks-you-can-assign,8701,25792
2176,2050,Parallel Courses III,parallel-courses-iii,77013,114228
2171,2045,Second Minimum Time to Reach Destination,second-minimum-time-to-reach-destination,11123,27537
2166,2056,Number of Valid Move Combinations On Chessboard,number-of-valid-move-combinations-on-chessboard,4071,7715
2162,2035,Partition Array Into Two Arrays to Minimize Sum Difference,partition-array-into-two-arrays-to-minimize-sum-difference,24224,120065
2157,2030,Smallest K-Length Subsequence With Occurrences of a Letter,smallest-k-length-subsequence-with-occurrences-of-a-letter,8467,21677
2150,2040,Kth Smallest Product of Two Sorted Arrays,kth-smallest-product-of-two-sorted-arrays,11199,38895
2147,2019,The Score of Students Solving Math Expression,the-score-of-students-solving-math-expression,7039,20966
2140,2014,Longest Subsequence Repeated k Times,longest-subsequence-repeated-k-times,7658,13814
2135,2025,Maximum Number of Ways to Partition an Array,maximum-number-of-ways-to-partition-an-array,8687,25618
2131,2003,Smallest Missing Genetic Value in Each Subtree,smallest-missing-genetic-value-in-each-subtree,8154,17585
2125,1998,GCD Sort of an Array,gcd-sort-of-an-array,8922,19546
2119,2009,Minimum Number of Operations to Make Array Continuous,minimum-number-of-operations-to-make-array-continuous,73177,138443
2115,1987,Number of Unique Good Subsequences,number-of-unique-good-subsequences,12066,23048
2109,1982,Find Array Given Subset Sums,find-array-given-subset-sums,5335,10926
2105,1994,The Number of Good Subsets,the-number-of-good-subsets,7602,21798
2101,1970,Last Day Where You Can Still Cross,last-day-where-you-can-still-cross,55770,90030
2096,1964,Find the Longest Valid Obstacle Course at Each Position,find-the-longest-valid-obstacle-course-at-each-position,56884,90305
2091,1977,Number of Ways to Separate Numbers,number-of-ways-to-separate-numbers,6125,29548
2086,1955,Count Number of Special Subsequences,count-number-of-special-subsequences,11322,22203
2079,1948,Delete Duplicate Folders in System,delete-duplicate-folders-in-system,8661,15423
2068,1938,Maximum Genetic Difference Query,maximum-genetic-difference-query,5303,12593
2061,1931,Painting a Grid With Three Different Colors,painting-a-grid-with-three-different-colors,9202,15966
2060,1932,Merge BSTs to Create Single BST,merge-bsts-to-create-single-bst,8392,23222
2051,1923,Longest Common Subpath,longest-common-subpath,7299,25960
2040,1928,Minimum Cost to Reach Destination in Time,minimum-cost-to-reach-destination-in-time,18545,48987
2028,1900,The Earliest and Latest Rounds Where Players Compete,the-earliest-and-latest-rounds-where-players-compete,5379,10559
2023,1912,Design Movie Rental System,design-movie-rental-system,6351,17493
2018,1889,Minimum Space Wasted From Packaging,minimum-space-wasted-from-packaging,12569,39768
