stat.question_id,stat.frontend_question_id,stat.question__title,stat.question__title_slug,stat.total_acs,stat.total_submitted
2691,2559,Count Vowel Strings in Ranges,count-vowel-strings-in-ranges,26779,51762
2690,2560,House Robber IV,house-robber-iv,17493,40831
2686,2662,Minimum Cost of a Path With Special Roads,minimum-cost-of-a-path-with-special-roads,12097,31677
2685,2661,First Completely Painted Row or Column,first-completely-painted-row-or-column,22444,44700
2680,2550,Count Collisions of Monkeys on a Polygon,count-collisions-of-monkeys-on-a-polygon,19240,70141
2677,2641,Cousins in Binary Tree II,cousins-in-binary-tree-ii,19438,28668
2676,2640,Find the Score of All Prefixes of an Array,find-the-score-of-all-prefixes-of-an-array,27633,39445
2673,2555,Maximize Win From Two Segments,maximize-win-from-two-segments,9865,30063
2670,2607,Make K-Subarray Sums Equal,make-k-subarray-sums-equal,9926,27300
2669,2606,Find the Substring With Maximum Cost,find-the-substring-with-maximum-cost,23455,41654
2665,2594,Minimum Time to Repair Cars,minimum-time-to-repair-cars,15404,35234
2664,2592,Maximize Greatness of an Array,maximize-greatness-of-an-array,22158,38649
2662,2596,Check Knight Tour Configuration,check-knight-tour-configuration,26614,46910
2661,2598,Smallest Missing Non-negative Integer After Operations,smallest-missing-non-negative-integer-after-operations,14471,36885
2656,2588,Count the Number of Beautiful Subarrays,count-the-number-of-beautiful-subarrays,16737,33476
2655,2587,Rearrange Array to Maximize Prefix Score,rearrange-array-to-maximize-prefix-score,27921,68395
2651,2580,Count Ways to Group Overlapping Ranges,count-ways-to-group-overlapping-ranges,15431,43061
2649,2579,Count Total Number of Colored Cells,count-total-number-of-colored-cells,25080,43661
2646,2583,Kth Largest Sum in a Binary Tree,kth-largest-sum-in-a-binary-tree,35979,75994
2641,2556,Disconnect Path in a Binary Matrix by at Most One Flip,disconnect-path-in-a-binary-matrix-by-at-most-one-flip,12893,47216
2640,2554,Maximum Number of Integers to Choose From a Range I,maximum-number-of-integers-to-choose-from-a-range-i,29787,55654
2636,2542,Maximum Subsequence Score,maximum-subsequence-score,83187,155131
2632,2546,Apply Bitwise Operations to Make Strings Equal,apply-bitwise-operations-to-make-strings-equal,18486,45116
2631,2545,Sort the Students by Their Kth Score,sort-the-students-by-their-kth-score,58542,68689
2628,2513,Minimize the Maximum of Two Arrays,minimize-the-maximum-of-two-arrays,12017,40186
2626,2537,Count the Number of Good Subarrays,count-the-number-of-good-subarrays,18860,37685
2625,2536,Increment Submatrices by One,increment-submatrices-by-one,20296,41351
2621,2527,Find Xor-Beauty of Array,find-xor-beauty-of-array,18548,27307
2620,2526,Find Consecutive Integers from a Data Stream,find-consecutive-integers-from-a-data-stream,25010,51029
2616,2530,Maximal Score After Applying K Operations,maximal-score-after-applying-k-operations,27269,59956
2615,2531,Make Number of Distinct Characters Equal,make-number-of-distinct-characters-equal,18232,69459
2610,2523,Closest Prime Numbers in Range,closest-prime-numbers-in-range,22027,59349
2609,2521,Distinct Prime Factors of Product of Array,distinct-prime-factors-of-product-of-array,29165,57284
2606,2482,Difference Between Ones and Zeros in Row and Column,difference-between-ones-and-zeros-in-row-and-column,124041,146818
2604,2541,Minimum Operations to Make Array Equal II,minimum-operations-to-make-array-equal-ii,21470,68442
2603,2512,Reward Top K Students,reward-top-k-students,19602,43541
2600,2517,Maximum Tastiness of Candy Basket,maximum-tastiness-of-candy-basket,19635,31105
2599,2516,Take K of Each Character From Left and Right,take-k-of-each-character-from-left-and-right,15749,45694
2595,2507,Smallest Value After Replacing With Sum of Prime Factors,smallest-value-after-replacing-with-sum-of-prime-factors,21470,44386
2591,2498,Frog Jump II,frog-jump-ii,19667,31833
2590,2497,Maximum Star Sum of a Graph,maximum-star-sum-of-a-graph,17844,45840
2587,2502,Design Memory Allocator,design-memory-allocator,15971,30268
2586,2501,Longest Square Streak in an Array,longest-square-streak-in-an-array,25306,64044
2582,2492,Minimum Score of a Path Between Two Cities,minimum-score-of-a-path-between-two-cities,83519,145390
2581,2491,Divide Players Into Teams of Equal Skill,divide-players-into-teams-of-equal-skill,35014,58729
